GEOID,poverty_rate,poverty_rate_z,renter_rate,renter_rate_z,old_building_rate,old_building_rate_z,housing_structural_index
17031061901,24.29,0.792284369978589,79.96,1.5795380226158309,21.79,-0.37457934639973606,1.997243046194684
17031061902,8.01,-0.6011628407320917,68.06,1.0767953821820024,30.47,-0.01775303045651275,0.45787951099339796
17031062000,9.24,-0.4958839667041962,78.86,1.5330660138362335,46.13,0.6260142630539571,1.6631963101859946
17031062100,9.48,-0.47534174738168006,73.65,1.312957681343776,24.3,-0.2713956997387348,0.5662202342233611
17031062200,4.91,-0.8664998403145923,44.08,0.06370559078677403,28.94,-0.08064983499489188,-0.8834440845227101
17031062300,4.26,-0.9221350176464069,42.62,0.002024560952035324,29.87,-0.0424184440009751,-0.9625289006953467
17031062400,10.7,-0.3709187991588896,47.76,0.21917558379488244,23.09,-0.32113761705340077,-0.4728808324174079
17031062500,10.8,-0.362359541107841,33.52,-0.382425693497363,48.91,0.7402973458099662,-0.00448788879523776
17031062600,2.42,-1.0796253657856976,31.61,-0.4631179996510281,35.16,0.17504828541603523,-1.3676950800206904
17031062700,11.35,-0.31528362182707487,53.44,0.4591401382204411,46.55,0.6432800525350806,0.7871365689284469
17031062800,3.02,-1.0282698174794072,54.71,0.5127941847205221,33.43,0.10392967636283533,-0.41154595639604974
17031062900,4.3,-0.9187113144259875,51.82,0.3906995434723065,38.9,0.32879602984318457,-0.19921574111049645
17031063000,7.47,-0.6473828342077531,71.56,1.2246608646625403,34.33,0.14092779667952893,0.7182058271343161
17031063100,7.02,-0.685899495437471,75.2,1.3784409664422999,32.5,0.06569828536891856,0.7582397563737474
17031063200,2.6,-1.0642187012938105,64.9,0.9432939751424312,15.93,-0.6154782186839859,-0.7364029448353652
17031063301,21.5,0.5534810703543385,88.12,1.9242758331990284,39.35,0.34729509000153147,2.825051993554898
17031063302,5.28,-0.8348305855257131,71.93,1.2402923585247687,32.02,0.04596595453334874,0.45142772753240434
17031063303,9.73,-0.453943602254059,45.52,0.1245416750073384,4.17,-1.0989203241554497,-1.4283222514021703
17031063400,8.73,-0.5395361827645431,76.05,1.4143511550447159,37.47,0.27001012756221576,1.1448250998423886
17031070101,12.12,-0.2493773348340022,62.04,0.8224667523154771,32.39,0.06117629288576713,0.634265710367242
17031070102,4.38,-0.9118639079851489,62.93,0.8600668321462425,21.07,-0.4041778426530909,-0.4559749184919974
17031070103,9.27,-0.49331618928888177,92.93,2.127485253407996,24.54,-0.2615295343209499,1.3726395297981644
17031070200,11.59,-0.2947414025045587,70.5,1.1798787471112917,31.55,0.026644713923519723,0.9117820585302527
17031070300,11.75,-0.28104658962288126,61.38,0.7945835470477187,28.7,-0.09051600041267693,0.42302095701216047
17031070400,15.29,0.021951145384232304,54.04,0.4844885066456762,21.76,-0.37581261707695907,0.13062703495294942
17031070500,4.86,-0.8707794693401165,44.16,0.06708537324347197,36.68,0.23753399972867356,-0.5661600963679709
17031070600,6.27,-0.7500939308203339,35.88,-0.28272211102477174,20.11,-0.4436425043242309,-1.4764585461693365
17031070700,8.87,-0.5275532214930754,47.07,0.1900249601058622,35.85,0.20341351099216726,-0.1341147503950459
17031071000,7.59,-0.637111724546495,44.71,0.09032137763327096,60.97,1.2360721580536613,0.6892818111404373
17031071100,12.2,-0.24252992839316345,58.51,0.6733338514136774,66.4,1.4592941506310468,1.890098073651561
17031071200,11.32,-0.31785139924238937,70.54,1.1815686383396409,23.36,-0.31003818095839264,0.5536790581388589
17031071300,10.07,-0.42484212488049444,41.22,-0.057121632040179775,48.31,0.715631932265504,0.2336681753448298
17031071400,16.64,0.1375011290733859,52.37,0.4139355478621052,51.37,0.8414255413422622,1.3928622182777533
17031071500,1.04,-1.1977431268901657,66.29,1.0020176953275592,25.93,-0.20438799294294518,-0.40011342450555165
17031071600,3.25,-1.0085835239619958,34.7,-0.33257390226106737,34.03,0.12859508990729784,-1.2125623363157654
17031071700,8.04,-0.5985950633167773,43.25,0.028640347798532254,39.71,0.36209433812820896,-0.207860377390036
